Company,Employees
Amity Goodwill Industries,350
Arcelor Mittal Hamilton East,543
Bay,350
Canadian Tire,300
City Of Hamilton,700
Columbia International College,300
First Canadian Title,250
Fortinos,250
Hamilton Ambulance & Emergecny,280
Hamilton Children's Aid Scty,350
Hamilton Fire Dept,400
Hamilton Police Svc,1100
Hamilton Spectator,600
Hamilton Wentworth Detention,350
Hamilton Works,2200
Horizon Utilities Corp,360
Koi,250
Kraft Foods,350
Macassa Lodge,320
Media Express,680
Member Care Financial Svc,300
National Steel Car Ltd,1400
Orlick Industries Ltd,260
Rygiel Supports Cmnty Living,330
S P Data Capital Corp,250
McMaster Innovation Park,701
McMaster University,7800
Mohawk College,947
St Josephs Healthcare,6494
Hamilton Health Sciences,11780