team,cap hit,bonus cushion,ltir,cap space,players signed,age,fwds,fwdspct,dmen,dmenpct,goalies,goaliespct
PHI,72.966,1.500,4.921,2.455,25,29.746,36.000,49.338,31.521,43.200,5.100,6.990
WAS,71.545,3.375,0.000,0.830,24,27.804,39.049,54.580,29.546,41.297,2.800,3.914
CHI,70.432,0.000,0.000,-1.432,22,29.054,39.102,55.518,24.519,34.813,6.750,9.584
TBL,69.316,0.182,3.607,3.474,23,28.243,33.646,48.540,28.822,41.581,3.850,5.554
BOS,69.160,0.850,4.007,4.697,25,28.559,38.016,54.968,19.394,28.043,7.000,10.121
NJD,67.783,3.060,0.000,4.277,22,31.534,47.250,69.707,12.767,18.835,4.600,6.786
COL,67.530,2.850,0.000,4.320,24,29.083,44.430,65.793,15.000,22.212,7.350,10.884
STL,66.992,0.850,0.000,2.858,23,27.878,37.000,55.231,25.992,38.798,3.300,4.926
FLA,66.926,4.822,0.000,6.897,25,29.486,37.169,55.538,19.673,29.396,6.483,9.687
VAN,66.858,0.000,0.000,2.142,25,28.726,38.033,56.886,19.675,29.428,8.350,12.489
LAK,66.209,0.125,0.000,2.916,27,27.992,40.243,60.781,19.617,29.628,6.350,9.591
TOR,65.728,0.850,0.000,4.122,24,27.573,41.700,63.444,17.794,27.072,5.200,7.911
CAR,64.980,1.300,0.000,5.320,24,28.164,36.575,56.287,18.905,29.094,8.550,13.158
DAL,64.371,1.200,0.000,5.829,24,29.708,43.725,67.927,14.283,22.189,6.362,9.884
PIT,64.043,0.000,0.000,4.957,25,28.882,35.424,55.313,22.019,34.382,6.600,10.305
EDM,63.208,2.850,0.000,8.643,24,26.741,41.888,66.270,16.120,25.503,5.200,8.227
SJS,62.552,0.557,0.000,7.006,24,28.651,40.317,64.453,16.660,26.634,5.400,8.633
NYR,61.862,0.000,0.000,7.138,25,29.065,29.975,48.454,22.825,36.896,9.062,14.649
DET,61.437,1.000,0.000,8.563,23,29.991,33.640,54.756,17.637,28.708,7.142,11.624
NYI,58.480,2.050,0.000,12.570,27,27.898,36.125,61.774,14.351,24.540,5.800,9.918
MIN,58.238,2.725,0.000,13.487,26,27.901,38.047,65.330,14.174,24.339,5.317,9.129
NAS,58.036,2.410,0.000,13.374,24,28.262,32.525,56.042,17.786,30.647,7.725,13.311
ANA,58.019,0.988,0.000,11.968,26,28.529,31.504,54.300,23.290,40.142,2.075,3.576
MTL,57.961,2.620,0.000,13.659,23,29.587,35.023,60.426,15.037,25.944,7.900,13.630
ARI,57.505,0.475,0.000,11.970,24,28.962,30.092,52.328,19.003,33.045,6.467,11.245
WPG,57.175,1.750,0.000,13.575,25,26.576,28.551,49.935,24.724,43.243,3.900,6.821
BUF,56.664,0.700,0.000,13.036,23,27.670,35.107,61.956,17.499,30.882,3.750,6.618
CLB,55.616,2.732,0.000,16.116,25,26.569,27.973,50.297,20.226,36.368,6.275,11.283
CGY,52.562,0.850,0.000,17.288,27,28.006,23.975,45.613,21.337,40.594,7.250,13.793
OTT,52.088,1.325,0.000,18.237,22,27.789,29.182,56.023,19.719,37.857,3.188,6.119