Calgary  All Industries,109418
Calgary Business Services,10657
Calgary Construction,9243
Calgary Finance- Insurance and Real Estate,16372
Calgary Goods Producing Industries,50362
Calgary Information and Cultural Industries,3498
Calgary Manufacturing,6687
Calgary Non-Commercial Services,7766
Calgary Personal Services,4338
Calgary Primary and Utilities,34432
Calgary Public Administration and Defence,3226
Calgary Service-Producing Industries,59056
Calgary Transportation and Warehousing,4768
Calgary Wholesale and Retail Trade,8432
Edmonton All Industries,81342
Edmonton Business Services,6079
Edmonton Construction,9850
Edmonton Finance- Insurance and Real Estate,13089
Edmonton Goods Producing Industries,29771
Edmonton Information and Cultural Industries,2159
Edmonton Manufacturing,7202
Edmonton Non-Commercial Services,7937
Edmonton Personal Services,3945
Edmonton Primary and Utilities,12719
Edmonton Public Administration and Defence,5230
Edmonton Service-Producing Industries,51570
Edmonton Transportation and Warehousing,3735
Edmonton Wholesale and Retail Trade,9397
Edmonton All Industries,283792
Alberta Business Services,20562
Alberta Construction,28031
Alberta Finance- Insurance and Real Estate,40926
Alberta Goods Producing Industries,132153
Alberta Information and Cultural Industries,7019
Alberta Manufacturing,18509
Alberta Non-Commercial Services,22704
Alberta Personal Services,12100
Alberta Primary and Utilities,85613
Alberta Public Administration and Defence,11798
Alberta Service-Producing Industries,151639
Alberta Transportation and Warehousing,11199
Alberta Wholesale and Retail Trade,25331
Abbotsford All Industries,5645
Abbotsford Business Services,309
Abbotsford Construction,500
Abbotsford Finance- Insurance and Real Estate,1290
Abbotsford Goods Producing Industries,1424
Abbotsford Information and Cultural Industries,93
Abbotsford Manufacturing,575
Abbotsford Non-Commercial Services,796
Abbotsford Personal Services,388
Abbotsford Primary and Utilities,349
Abbotsford Public Administration and Defence,410
Abbotsford Service-Producing Industries,4221
Abbotsford Transportation and Warehousing,336
Abbotsford Wholesale and Retail Trade,598
Vancouver All Industries,111606
Vancouver Business Services,9783
Vancouver Construction,8278
Vancouver Finance- Insurance and Real Estate,29451
Vancouver Goods Producing Industries,23058
Vancouver Information and Cultural Industries,5289
Vancouver Manufacturing,8061
Vancouver Non-Commercial Services,13083
Vancouver Personal Services,6153
Vancouver Primary and Utilities,6718
Vancouver Public Administration and Defence,5748
Vancouver Service-Producing Industries,88548
Vancouver Transportation and Warehousing,6986
Vancouver Wholesale and Retail Trade,12055
Victoria All Industries,14985
Victoria Business Services,1419
Victoria Construction,936
Victoria Finance- Insurance and Real Estate,3688
Victoria Goods Producing Industries,2009
Victoria Information and Cultural Industries,384
Victoria Manufacturing,579
Victoria Non-Commercial Services,2377
Victoria Personal Services,964
Victoria Primary and Utilities,494
Victoria Public Administration and Defence,2302
Victoria Service-Producing Industries,12976
Victoria Transportation and Warehousing,524
Victoria Wholesale and Retail Trade,1317
British Columbia All Industries,194506
British Columbia Business Services,15006
British Columbia Construction,15188
British Columbia Finance- Insurance and Real Estate,46631
British Columbia Goods Producing Industries,47957
British Columbia Information and Cultural Industries,7062
British Columbia Manufacturing,13896
British Columbia Non-Commercial Services,23983
British Columbia Personal Services,11391
British Columbia Primary and Utilities,18873
British Columbia Public Administration and Defence,12045
British Columbia Service-Producing Industries,146549
British Columbia Transportation and Warehousing,10611
British Columbia Wholesale and Retail Trade,19820
Winnipeg All Industries,33693
Winnipeg Business Services,1888
Winnipeg Construction,2571
Winnipeg Finance- Insurance and Real Estate,6722
Winnipeg Goods Producing Industries,7606
Winnipeg Information and Cultural Industries,1393
Winnipeg Manufacturing,3437
Winnipeg Non-Commercial Services,4598
Winnipeg Personal Services,1585
Winnipeg Primary and Utilities,1598
Winnipeg Public Administration and Defence,3279
Winnipeg Service-Producing Industries,26087
Winnipeg Transportation and Warehousing,2572
Winnipeg Wholesale and Retail Trade,4051
Manitoba All Industries,51335
Manitoba Business Services,2341
Manitoba Construction,3691
Manitoba Finance- Insurance and Real Estate,9273
Manitoba Goods Producing Industries,15445
Manitoba Information and Cultural Industries,1643
Manitoba Manufacturing,5156
Manitoba Non-Commercial Services,6948
Manitoba Personal Services,2199
Manitoba Primary and Utilities,6598
Manitoba Public Administration and Defence,4435
Manitoba Service-Producing Industries,35890
Manitoba Transportation and Warehousing,3209
Manitoba Wholesale and Retail Trade,5841
Saint John All Industries,5122
Saint John Business Services,516
Saint John Construction,345
Saint John Finance- Insurance and Real Estate,902
Saint John Goods Producing Industries,1326
Saint John Information and Cultural Industries,210
Saint John Manufacturing,493
Saint John Non-Commercial Services,732
Saint John Personal Services,224
Saint John Primary and Utilities,488
Saint John Public Administration and Defence,381
Saint John Service-Producing Industries,3796
Saint John Transportation and Warehousing,220
Saint John Wholesale and Retail Trade,610
New Brunswick All Industries,26147
New Brunswick Business Services,1766
New Brunswick Construction,1464
New Brunswick Finance- Insurance and Real Estate,4763
New Brunswick Goods Producing Industries,6322
New Brunswick Information and Cultural Industries,816
New Brunswick Manufacturing,2842
New Brunswick Non-Commercial Services,3994
New Brunswick Personal Services,1171
New Brunswick Primary and Utilities,2016
New Brunswick Public Administration and Defence,2909
New Brunswick Service-Producing Industries,19825
New Brunswick Transportation and Warehousing,1184
New Brunswick Wholesale and Retail Trade,3223
St. John's All Industries,12773
St. John's Business Services,626
St. John's Construction,978
St. John's Finance- Insurance and Real Estate,1492
St. John's Goods Producing Industries,5501
St. John's Information and Cultural Industries,403
St. John's Manufacturing,427
St. John's Non-Commercial Services,1819
St. John's Personal Services,390
St. John's Primary and Utilities,4096
St. John's Public Administration and Defence,1299
St. John's Service-Producing Industries,7273
St. John's Transportation and Warehousing,328
St. John's Wholesale and Retail Trade,916
Newfoundland and Labrador All Industries,26571
Newfoundland and Labrador Business Services,849
Newfoundland and Labrador Construction,2482
Newfoundland and Labrador Finance- Insurance and Real Estate,3029
Newfoundland and Labrador Goods Producing Industries,13006
Newfoundland and Labrador Information and Cultural Industries,601
Newfoundland and Labrador Manufacturing,945
Newfoundland and Labrador Non-Commercial Services,3719
Newfoundland and Labrador Personal Services,847
Newfoundland and Labrador Primary and Utilities,9580
Newfoundland and Labrador Public Administration and Defence,1952
Newfoundland and Labrador Service-Producing Industries,13565
Newfoundland and Labrador Transportation and Warehousing,652
Newfoundland and Labrador Wholesale and Retail Trade,1915
Halifax All Industries,18339
Halifax Business Services,1356
Halifax Construction,1121
Halifax Finance- Insurance and Real Estate,4224
Halifax Goods Producing Industries,3043
Halifax Information and Cultural Industries,842
Halifax Manufacturing,1006
Halifax Non-Commercial Services,2693
Halifax Personal Services,835
Halifax Primary and Utilities,915
Halifax Public Administration and Defence,2724
Halifax Service-Producing Industries,15296
Halifax Transportation and Warehousing,688
Halifax Wholesale and Retail Trade,1935
Nova Scotia All Industries,33036
Nova Scotia Business Services,2076
Nova Scotia Construction,1860
Nova Scotia Finance- Insurance and Real Estate,7098
Nova Scotia Goods Producing Industries,6819
Nova Scotia Information and Cultural Industries,1163
Nova Scotia Manufacturing,2668
Nova Scotia Non-Commercial Services,5310
Nova Scotia Personal Services,1589
Nova Scotia Primary and Utilities,2292
Nova Scotia Public Administration and Defence,4194
Nova Scotia Service-Producing Industries,26217
Nova Scotia Transportation and Warehousing,1066
Nova Scotia Wholesale and Retail Trade,3722
Hamilton All Industries,26340
Hamilton Business Services,2003
Hamilton Construction,1988
Hamilton Finance- Insurance and Real Estate,5564
Hamilton Goods Producing Industries,6786
Hamilton Information and Cultural Industries,764
Hamilton Manufacturing,4213
Hamilton Non-Commercial Services,4407
Hamilton Personal Services,1198
Hamilton Primary and Utilities,585
Hamilton Public Administration and Defence,1252
Hamilton Service-Producing Industries,19553
Hamilton Transportation and Warehousing,892
Hamilton Wholesale and Retail Trade,3474
Kingston All Industries,6913
Kingston Business Services,577
Kingston Construction,431
Kingston Finance- Insurance and Real Estate,1357
Kingston Goods Producing Industries,1038
Kingston Information and Cultural Industries,214
Kingston Manufacturing,434
Kingston Non-Commercial Services,1585
Kingston Personal Services,432
Kingston Primary and Utilities,172
Kingston Public Administration and Defence,849
Kingston Service-Producing Industries,5876
Kingston Transportation and Warehousing,175
Kingston Wholesale and Retail Trade,687
Kitchener All Industries,24329
Kitchener Business Services,2339
Kitchener Construction,1422
Kitchener Finance- Insurance and Real Estate,5668
Kitchener Goods Producing Industries,7165
Kitchener Information and Cultural Industries,711
Kitchener Manufacturing,5354
Kitchener Non-Commercial Services,3126
Kitchener Personal Services,1033
Kitchener Primary and Utilities,390
Kitchener Public Administration and Defence,825
Kitchener Service-Producing Industries,17164
Kitchener Transportation and Warehousing,815
Kitchener Wholesale and Retail Trade,2647
London All Industries,20316
London Business Services,1768
London Construction,1151
London Finance- Insurance and Real Estate,4862
London Goods Producing Industries,4416
London Information and Cultural Industries,492
London Manufacturing,2784
London Non-Commercial Services,3514
London Personal Services,1053
London Primary and Utilities,481
London Public Administration and Defence,940
London Service-Producing Industries,15899
London Transportation and Warehousing,703
London Wholesale and Retail Trade,2567
Oshawa All Industries,11184
Oshawa Business Services,805
Oshawa Construction,629
Oshawa Finance- Insurance and Real Estate,1879
Oshawa Goods Producing Industries,3374
Oshawa Information and Cultural Industries,288
Oshawa Manufacturing,1910
Oshawa Non-Commercial Services,1814
Oshawa Personal Services,536
Oshawa Primary and Utilities,834
Oshawa Public Administration and Defence,880
Oshawa Service-Producing Industries,7810
Oshawa Transportation and Warehousing,363
Oshawa Wholesale and Retail Trade,1246
Ottawa and Gatineau All Industries,62720
Ottawa and Gatineau Business Services,6833
Ottawa and Gatineau Construction,3168
Ottawa and Gatineau Finance- Insurance and Real Estate,10456
Ottawa and Gatineau Goods Producing Industries,6453
Ottawa and Gatineau Information and Cultural Industries,2615
Ottawa and Gatineau Manufacturing,2604
Ottawa and Gatineau Non-Commercial Services,8174
Ottawa and Gatineau Personal Services,2701
Ottawa and Gatineau Primary and Utilities,680
Ottawa and Gatineau Public Administration and Defence,18628
Ottawa and Gatineau Service-Producing Industries,56267
Ottawa and Gatineau Transportation and Warehousing,1541
Ottawa and Gatineau Wholesale and Retail Trade,5319
St. Catharines-Niagara All Industries,13812
St. Catharines-Niagara Business Services,992
St. Catharines-Niagara Construction,964
St. Catharines-Niagara Finance- Insurance and Real Estate,2788
St. Catharines-Niagara Goods Producing Industries,3319
St. Catharines-Niagara Information and Cultural Industries,298
St. Catharines-Niagara Manufacturing,1789
St. Catharines-Niagara Non-Commercial Services,2133
St. Catharines-Niagara Personal Services,1236
St. Catharines-Niagara Primary and Utilities,566
St. Catharines-Niagara Public Administration and Defence,898
St. Catharines-Niagara Service-Producing Industries,10492
St. Catharines-Niagara Transportation and Warehousing,405
St. Catharines-Niagara Wholesale and Retail Trade,1742
Sudbury All Industries,7892
Sudbury Business Services,464
Sudbury Construction,487
Sudbury Finance- Insurance and Real Estate,1159
Sudbury Goods Producing Industries,2865
Sudbury Information and Cultural Industries,209
Sudbury Manufacturing,339
Sudbury Non-Commercial Services,1176
Sudbury Personal Services,366
Sudbury Primary and Utilities,2039
Sudbury Public Administration and Defence,608
Sudbury Service-Producing Industries,5027
Sudbury Transportation and Warehousing,197
Sudbury Wholesale and Retail Trade,848
Thunder Bay All Industries,4620
Thunder Bay Business Services,334
Thunder Bay Construction,264
Thunder Bay Finance- Insurance and Real Estate,796
Thunder Bay Goods Producing Industries,763
Thunder Bay Information and Cultural Industries,205
Thunder Bay Manufacturing,369
Thunder Bay Non-Commercial Services,988
Thunder Bay Personal Services,261
Thunder Bay Primary and Utilities,130
Thunder Bay Public Administration and Defence,462
Thunder Bay Service-Producing Industries,3857
Thunder Bay Transportation and Warehousing,224
Thunder Bay Wholesale and Retail Trade,586
Toronto All Industries,293143
Toronto Business Services,31762
Toronto Construction,14988
Toronto Finance- Insurance and Real Estate,82438
Toronto Goods Producing Industries,57980
Toronto Information and Cultural Industries,14765
Toronto Manufacturing,36723
Toronto Non-Commercial Services,30520
Toronto Personal Services,12526
Toronto Primary and Utilities,6269
Toronto Public Administration and Defence,13928
Toronto Service-Producing Industries,235164
Toronto Transportation and Warehousing,13545
Toronto Wholesale and Retail Trade,35681
Windsor All Industries,11788
Windsor Business Services,683
Windsor Construction,687
Windsor Finance- Insurance and Real Estate,2321
Windsor Goods Producing Industries,3931
Windsor Information and Cultural Industries,315
Windsor Manufacturing,3080
Windsor Non-Commercial Services,1626
Windsor Personal Services,715
Windsor Primary and Utilities,163
Windsor Public Administration and Defence,537
Windsor Service-Producing Industries,7857
Windsor Transportation and Warehousing,416
Windsor Wholesale and Retail Trade,1242
Ontario All Industries,580763
Ontario Business Services,54424
Ontario Construction,34031
Ontario Finance- Insurance and Real Estate,136398
Ontario Goods Producing Industries,134369
Ontario Information and Cultural Industries,22533
Ontario Manufacturing,76178
Ontario Non-Commercial Services,73575
Ontario Personal Services,26775
Ontario Primary and Utilities,24159
Ontario Public Administration and Defence,42555
Ontario Service-Producing Industries,446395
Ontario Transportation and Warehousing,22201
Ontario Wholesale and Retail Trade,67934
Montreal All Industries,162308
Montreal Business Services,15095
Montreal Construction,9869
Montreal Finance- Insurance and Real Estate,31809
Montreal Goods Producing Industries,39620
Montreal Information and Cultural Industries,20938
Montreal Manufacturing,20924
Montreal Non-Commercial Services,22447
Montreal Personal Services,8423
Montreal Primary and Utilities,8828
Montreal Public Administration and Defence,8784
Montreal Service-Producing Industries,122688
Montreal Transportation and Warehousing,7268
Montreal Wholesale and Retail Trade,7924
Quebec City All Industries,32895
Quebec City Business Services,2832
Quebec City Construction,2247
Quebec City Finance- Insurance and Real Estate,7468
Quebec City Goods Producing Industries,5341
Quebec City Information and Cultural Industries,770
Quebec City Manufacturing,2206
Quebec City Non-Commercial Services,5211
Quebec City Personal Services,1740
Quebec City Primary and Utilities,887
Quebec City Public Administration and Defence,5283
Quebec City Service-Producing Industries,27554
Quebec City Transportation and Warehousing,1127
Quebec City Wholesale and Retail Trade,3123
Saguenay All Industries,5406
Saguenay Business Services,401
Saguenay Construction,549
Saguenay Finance- Insurance and Real Estate,716
Saguenay Goods Producing Industries,1754
Saguenay Information and Cultural Industries,168
Saguenay Manufacturing,746
Saguenay Non-Commercial Services,901
Saguenay Personal Services,326
Saguenay Primary and Utilities,458
Saguenay Public Administration and Defence,380
Saguenay Service-Producing Industries,3651
Saguenay Transportation and Warehousing,180
Saguenay Wholesale and Retail Trade,580
Sherbrooke All Industries,6836
Sherbrooke Business Services,541
Sherbrooke Construction,501
Sherbrooke Finance- Insurance and Real Estate,1162
Sherbrooke Goods Producing Industries,1648
Sherbrooke Information and Cultural Industries,171
Sherbrooke Manufacturing,846
Sherbrooke Non-Commercial Services,1497
Sherbrooke Personal Services,444
Sherbrooke Primary and Utilities,301
Sherbrooke Public Administration and Defence,440
Sherbrooke Service-Producing Industries,5188
Sherbrooke Transportation and Warehousing,167
Sherbrooke Wholesale and Retail Trade,766
Trois-Rivières All Industries,5820
Trois-Rivières Business Services,309
Trois-Rivières Construction,427
Trois-Rivières Finance- Insurance and Real Estate,693
Trois-Rivières Goods Producing Industries,2252
Trois-Rivières Information and Cultural Industries,199
Trois-Rivières Manufacturing,738
Trois-Rivières Non-Commercial Services,947
Trois-Rivières Personal Services,319
Trois-Rivières Primary and Utilities,1087
Trois-Rivières Public Administration and Defence,305
Trois-Rivières Service-Producing Industries,3568
Trois-Rivières Transportation and Warehousing,221
Trois-Rivières Wholesale and Retail Trade,576
Quebec All Industries,305149
Quebec Business Services,23661
Quebec Construction,20962
Quebec Finance- Insurance and Real Estate,55386
Quebec Goods Producing Industries,85607
Quebec Information and Cultural Industries,10180
Quebec Manufacturing,42898
Quebec Non-Commercial Services,43660
Quebec Personal Services,16098
Quebec Primary and Utilities,21747
Quebec Public Administration and Defence,23141
Quebec Service-Producing Industries,219541
Quebec Transportation and Warehousing,12172
Quebec Wholesale and Retail Trade,35242
Regina All Industries,13046
Regina Business Services,744
Regina Construction,1129
Regina Finance- Insurance and Real Estate,2397
Regina Goods Producing Industries,3762
Regina Information and Cultural Industries,540
Regina Manufacturing,1078
Regina Non-Commercial Services,1452
Regina Personal Services,642
Regina Primary and Utilities,1554
Regina Public Administration and Defence,1396
Regina Service-Producing Industries,9284
Regina Transportation and Warehousing,603
Regina Wholesale and Retail Trade,1510
Saskatoon All Industries,16262
Saskatoon Business Services,833
Saskatoon Construction,1845
Saskatoon Finance- Insurance and Real Estate,2162
Saskatoon Goods Producing Industries,6795
Saskatoon Information and Cultural Industries,352
Saskatoon Manufacturing,1507
Saskatoon Non-Commercial Services,1926
Saskatoon Personal Services,730
Saskatoon Primary and Utilities,3443
Saskatoon Public Administration and Defence,752
Saskatoon Service-Producing Industries,9468
Saskatoon Transportation and Warehousing,893
Saskatoon Wholesale and Retail Trade,1820
Saskatchewan All Industries,56943
Saskatchewan Business Services,2187
Saskatchewan Construction,4530
Saskatchewan Finance- Insurance and Real Estate,7674
Saskatchewan Goods Producing Industries,25325
Saskatchewan Information and Cultural Industries,1209
Saskatchewan Manufacturing,3910
Saskatchewan Non-Commercial Services,6073
Saskatchewan Personal Services,2313
Saskatchewan Primary and Utilities,16885
Saskatchewan Public Administration and Defence,3329
Saskatchewan Service-Producing Industries,31618
Saskatchewan Transportation and Warehousing,2692
Saskatchewan Wholesale and Retail Trade,6140
Canada All Industries,1571741
Canada Business Services,123390
Canada Construction,113178
Canada Finance- Insurance and Real Estate,301996
Canada Goods Producing Industries,464227
Canada Information and Cultural Industries,52603
Canada Manufacturing,167640
Canada Non-Commercial Services,191803
Canada Personal Services,106219
Canada Primary and Utilities,183409
Canada Public Administration and Defence,109066
Canada Service-Producing Industries,1120414
Canada Transportation and Warehousing,64959
Canada Wholesale and Retail Trade,170377